# file...... load_node_149.csv
# date...... Mon Jul 15 03:23:20 2019
# user...... (null)
# host...... (null)
# target.... meter 6938
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_real_power
2016-07-01 09:45:00 CDT,+521840
2016-07-01 09:46:00 CDT,+508521
2016-07-01 09:47:00 CDT,+524057
2016-07-01 09:48:00 CDT,+440974
2016-07-01 09:49:00 CDT,+474158
2016-07-01 09:50:00 CDT,+487852
2016-07-01 09:51:00 CDT,+527800
2016-07-01 09:52:00 CDT,+638260
2016-07-01 09:53:00 CDT,+556693
2016-07-01 09:54:00 CDT,+584258
2016-07-01 09:55:00 CDT,+562545
2016-07-01 09:56:00 CDT,+510436
2016-07-01 09:57:00 CDT,+524756
2016-07-01 09:58:00 CDT,+492779
2016-07-01 09:59:00 CDT,+526656
2016-07-01 10:00:00 CDT,+594649
2016-07-01 10:01:00 CDT,+536620
2016-07-01 10:02:00 CDT,+554030
2016-07-01 10:03:00 CDT,+539229
2016-07-01 10:04:00 CDT,+461753
2016-07-01 10:05:00 CDT,+532283
2016-07-01 10:06:00 CDT,+601178
2016-07-01 10:07:00 CDT,+535497
2016-07-01 10:08:00 CDT,+592601
2016-07-01 10:09:00 CDT,+596594
2016-07-01 10:10:00 CDT,+567387
2016-07-01 10:11:00 CDT,+606952
2016-07-01 10:12:00 CDT,+496511
2016-07-01 10:13:00 CDT,+599011
2016-07-01 10:14:00 CDT,+642309
2016-07-01 10:15:00 CDT,+576287
2016-07-01 10:16:00 CDT,+586372
2016-07-01 10:17:00 CDT,+584166
2016-07-01 10:18:00 CDT,+561382
2016-07-01 10:19:00 CDT,+603874
2016-07-01 10:20:00 CDT,+557132
2016-07-01 10:21:00 CDT,+540576
2016-07-01 10:22:00 CDT,+544850
2016-07-01 10:23:00 CDT,+563332
2016-07-01 10:24:00 CDT,+595971
2016-07-01 10:25:00 CDT,+521105
2016-07-01 10:26:00 CDT,+572570
2016-07-01 10:27:00 CDT,+577652
